Date_Entry,Date_Exit,Symbol,Entry,Exit,Qty,Net_PnL,Type
2024-03-22,2024-05-02,HINDPETRO,316.16666667,358.10952381285716,4428,-185997.6835780026,STOP_LOSS
2024-06-04,2024-06-10,CANBK,109.8,121.37142857142857,19125,-221694.48512499995,STOP_LOSS
2024-08-06,2024-09-04,HAL,4525.95,4970.092857142857,462,-205583.11704849987,STOP_LOSS
2024-03-26,2024-10-14,COFORGE,1112.36,1492.9099999999999,629,-239526.18360159997,STOP_LOSS
2024-10-14,2024-10-25,INDUSTOWER,388.95,330.2892857142857,7196,421629.1265569999,TARGET
2024-10-04,2025-06-19,IDEA,9.86,6.377857142857144,141986,494154.4270015998,TARGET
2025-07-25,2025-08-07,CONCOR,598.15,541.3821428571428,10530,596698.2353075009,TARGET
2025-08-07,2025-08-18,ASHOKLEY,120.45,125.4957142857143,52299,-264970.4925455506,STOP_LOSS
2025-08-18,2025-09-19,GODREJPROP,2005.8,2122.3,2088,-243987.90325600046,STOP_LOSS
2024-10-28,2026-01-05,RELIANCE,1334.75,1608.2571428571428,524,-143476.01169699995,STOP_LOSS
2026-01-09,2026-02-09,JUBLFOOD,523.8,548.0857142857143,9352,-227972.80770400047,STOP_LOSS
2026-02-27,2026-04-16,COFORGE,1192.8,1318.442857142857,1758,-221270.55595599997,STOP_LOSS
2026-06-04,2026-06-22,TRENT,2791.7,3213.6857142857143,500,-211267.3922500001,STOP_LOSS
