,Deep_Mean_Reversion_Strategy
2020-08-31,499256.1263
2020-09-01,503671.7263
2020-09-02,509581.2263
2020-09-03,514221.7262999999
2020-09-04,500397.42629999993
2020-09-07,503701.90215
2020-09-08,498140.78615
2020-09-09,493624.53615
2020-09-10,502438.08614999993
2020-09-11,509022.78615
2020-09-14,527199.0673477493
2020-09-15,526299.2705477492
2020-09-16,526299.2705477492
2020-09-17,526299.2705477492
2020-09-18,525553.7733227493
2020-09-21,513859.8233227493
2020-09-22,513906.3208704528
2020-09-23,512571.92087045277
2020-09-24,504415.72087045276
2020-09-25,513742.58034545276
2020-09-28,516670.83034545276
2020-09-29,518304.2477204528
2020-09-30,518149.01422045275
2020-10-01,519962.01422045275
2020-10-02,519962.01422045275
2020-10-05,520988.76422045275
2020-10-06,522339.26422045275
2020-10-07,521136.96302045276
2020-10-08,512304.4128562796
2020-10-09,520271.1782062795
2020-10-12,511028.40965473506
2020-10-13,508143.6096547351
2020-10-14,510188.691729735
2020-10-15,506244.406379735
2020-10-16,517817.32980473497
2020-10-19,520853.514304735
2020-10-20,515212.914304735
2020-10-21,509176.72272973496
2020-10-22,509243.68475473503
2020-10-23,513761.748029735
2020-10-26,503867.799379735
2020-10-27,508689.199379735
2020-10-28,504297.07435473497
2020-10-29,506938.8218547349
2020-10-30,505898.18832973496
2020-11-02,502262.78457973496
2020-11-03,507686.684579735
2020-11-04,506842.92770473496
2020-11-05,521425.75510473497
2020-11-06,528358.6784797349
2020-11-09,530346.026104735
2020-11-10,532634.5200797349
2020-11-11,540389.0064547348
2020-11-12,550661.8233797349
2020-11-13,552923.6733797349
2020-11-16,555929.673379735
2020-11-17,546561.8290797349
2020-11-18,545593.135079735
2020-11-19,545042.6807547349
2020-11-20,545569.1807547349
2020-11-23,547800.7307547348
2020-11-24,547573.9307547349
2020-11-25,546192.0829047349
2020-11-26,546192.0829047349
2020-11-27,546192.0829047349
2020-11-30,546192.0829047349
2020-12-01,546192.0829047349
2020-12-02,546192.0829047349
2020-12-03,546192.0829047349
2020-12-04,546192.0829047349
2020-12-07,546192.0829047349
2020-12-08,546192.0829047349
2020-12-09,546192.0829047349
2020-12-10,545865.9226047349
2020-12-11,546344.4904297349
2020-12-14,543648.9894297349
2020-12-15,547418.0394297348
2020-12-16,549108.9394297348
2020-12-17,548297.9901547348
2020-12-18,543264.1793047349
2020-12-21,523299.5580991689
2020-12-22,523175.48011731566
2020-12-23,531261.0801173156
2020-12-24,543622.9301173157
2020-12-25,543622.9301173157
2020-12-28,548544.2301423156
2020-12-29,548677.3603923157
2020-12-30,548516.3166423156
2020-12-31,548396.6166423156
2021-01-01,552021.2166423156
2021-01-04,550885.1166423156
2021-01-05,550509.2166423156
2021-01-06,549300.8381673157
2021-01-07,548962.3559673157
2021-01-08,551675.7059673157
2021-01-11,547750.9291173157
2021-01-12,546479.1291173156
2021-01-13,543565.4016673157
2021-01-14,554340.3158923156
2021-01-15,544772.6658923157
2021-01-18,540553.6633173157
2021-01-19,549720.1133173157
2021-01-20,556583.6145173158
2021-01-21,549478.6775173156
2021-01-22,531172.0280567063
2021-01-25,518913.01979485585
2021-01-26,518913.01979485585
2021-01-27,510245.18937827786
2021-01-28,507964.4818188763
2021-01-29,507224.3818188763
2021-02-01,518871.1404188763
2021-02-02,513773.5404188763
2021-02-03,527607.3348438763
2021-02-04,536579.2986938764
2021-02-05,528743.6200438762
2021-02-08,529135.2944688763
2021-02-09,529131.5944688764
2021-02-10,526285.8497188763
2021-02-11,526171.7231188763
2021-02-12,524510.2725688764
2021-02-15,521116.8841688764
2021-02-16,512298.9075268373
2021-02-17,516362.6075268374
2021-02-18,519296.427707923
2021-02-19,516073.068482923
2021-02-22,507095.4966455235
2021-02-23,501878.9947705235
2021-02-24,503737.1947705235
2021-02-25,506353.2447705235
2021-02-26,499266.9605011585
2021-03-01,506674.12925115845
2021-03-02,515514.48010115855
2021-03-03,518666.1801011585
2021-03-04,526139.5301011584
2021-03-05,524241.5812011585
2021-03-08,521377.1957011585
2021-03-09,523645.1214761585
2021-03-10,536668.3214761585
2021-03-11,536668.3214761585
2021-03-12,540981.7508761585
2021-03-15,546939.4574261585
2021-03-16,552332.8957761585
2021-03-17,531135.6957761586
2021-03-18,529276.2507297922
